,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES ?§C use \n for newline,max length
community_tutorial_tips_title,,,,,,,,,小贴士：,,,,,
community_tutorial_tips_max_index,21,,,,,,,,21,,,,,
community_tutorial_tips_1,,,,,,,,,"“传送”和“不稳传送”效果总是倾向于将你传送到相同的群系。",,,,,
community_tutorial_tips_2,,,,,,,,,"“狂暴诅咒”效果会让你的投射物的伤害和爆炸半径翻倍，但也会使你被友好生物攻击。",,,,,
community_tutorial_tips_3,,,,,,,,,将魔杖浸泡在魅惑魔药中可以将它变成友好的魔杖灵，魔杖如果是空的则会变成一些黄金。,,,,,
community_tutorial_tips_4,,,,,,,,,位于二层左侧的真菌洞穴资源丰富，如果感到输出乏力，不妨一探,,,,,
community_tutorial_tips_5,,,,,,,,,死亡十字具有追踪无辜生物（包含米纳）的特性，如果由怪物施放就要当心了,,,,,
community_tutorial_tips_6,,,,,,,,,法术“致命治愈”无自伤，需搭配“嗜血”“穿刺”等法术启用自伤,,,,,
community_tutorial_tips_7,,,,,,,,,天赋“吸血术”具有中毒免疫效果，会免疫真菌转换,,,,,
community_tutorial_tips_8,,,,,,,,,邪眼是支线“种太阳”必备道具，除唯一一个固定生成的外极难获得，请珍惜,,,,,
community_tutorial_tips_9,,,,,,,,,“老古”是怪物“古迷图斯”的俗名，会持有玩家曾经死亡时携带的法杖,,,,,
community_tutorial_tips_10,,,,,,,,,（含剧透）平行世界的所有传送门都会将你传回主世界对应地点，除利维坦传送门外,,,,,
community_tutorial_tips_11,,,,,,,,,持有库罗基维（音符石）时会播放当前生物群戏的音乐，并且对特定天体具有强烈引力,,,,,
community_tutorial_tips_12,,,,,,,,,noita的法术与法杖按等级生成，除了拟态海，不复存在，一分系列，追加触发等固定法术，其他法术都按等级生成于不同生物群落,,,,,
community_tutorial_tips_13,,,,,,,,,天赋“汇聚的法术”“回旋的法术”“绿幽灵”具有增加投射物伤害的效果，这种效果同样会施加在治疗弹/治疗环上,,,,,
community_tutorial_tips_14,,,,,,,,,进行跃迁时请尽量不要携带会影响弹道弹速的天赋,,,,,
community_tutorial_tips_15,,,,,,,,,卡尔赛道的第三个红圈代表最佳时间，外中内圈分别对应0.1s，1s，10s，开发者在代码里注释他的最佳时间是9.2s，你可以尝试超越他,,,,,
community_tutorial_tips_16,,,,,,,,,妄灵的本体是紫色鳞片水晶，寻找并击破它,,,,,
community_tutorial_tips_17,,,,,,,,,（含剧透）ng0的世界只能拾取31个魔球，与ng+的33魔球相比，缺少了左右平行的岩浆湖魔球,,,,,
community_tutorial_tips_18,,,,,,,,,在一局游戏的任意时刻开启过mod将无法解锁steam成就，喵体汉化属于语言包，不受此影响,,,,,
community_tutorial_tips_19,,,,,,,,,石板/留声机等物品卡没的情况时有发生,,,,,
community_tutorial_tips_20,,,,,,,,,装载电系法术的法杖会漏电，入水时请千万小心（好像有例外，但忘记了）,,,,,
community_tutorial_tips_21,,,,,,,,,法术“法术变力量”会吸收周围投射物并转化为伤害，但请不要在周围无投射物时使用，否则极易造成卡死,,,,,
community_tutorial_veteran_interact,,,,,,,,,按 [E] 对话,,,,,
community_tutorial_sign_interact,,,,,,,,,按 [E] 查看,,,,,
community_tutorial_veteran_npc_name,,,,,,,,,前辈,,,,,
community_tutorial_sign_npc_name,,,,,,,,,告示牌,,,,,
community_tutorial_chapter_newbie_name,,,,,,,,,基础,,,,,
community_tutorial_chapter_advanced_name,,,,,,,,,进阶,,,,,
community_tutorial_enter_lounge,,,,,,,,,进入休息室,,,,,
community_tutorial_portal_next_room,,,,,,,,,通往下一个房间的传送门,,,,,
community_tutorial_level_lounge_name,,,,,,,,,休息室,,,,,
community_tutorial_level_tablet_1_name,,,,,,,,,石板基础,,,,,
community_tutorial_level_tablet_1_room_1_name,,,,,,,,,获取石板,,,,,
community_tutorial_dialog_option_open_level_selector,,,,,,,,,我想进入教学关卡,,,,,
community_tutorial_dialog_option_continue,,,,,,,,,(继续),,,,,
community_tutorial_dialog_option_previous,,,,,,,,,(回溯)你刚才说了什么？,,,,,
community_tutorial_dialog_option_end,,,,,,,,,(结束对话),,,,,
community_tutorial_dialog_option_sign_end,,,,,,,,,(阅读完毕),,,,,
community_tutorial_dialog_tablet_1_2_1,,,,,,,,,欢迎你的到来，这次我将讲解石板速度与石板伤害的关系,,,,,
community_tutorial_dialog_tablet_1_2_2,,,,,,,,,你需要知道，石板的命中目标的速度越快，伤害就越高,,,,,
community_tutorial_dialog_tablet_1_2_3,,,,,,,,,看这边，投掷高度影响命中速度，如果一个石板从这个高度掉下来，打出的是这个伤害,,,,,
community_tutorial_dialog_tablet_1_2_4,,,,,,,,,那么如果换其他的高度呢？,,,,,
community_tutorial_dialog_tablet_1_2_5,,,,,,,,,你应当理解速度与伤害的关系了，去右边的场地试试吧，在持有石板时按左键可以丢出石板，传送门也在那边,,,,,
community_tutorial_dialog_tablet_kill_1_1,,,,,,,,,在使用石板击杀怪物时\n可以通过持有石板时的瞄准线进行轨迹预判\n尽量在与怪物保持安全距离的同时丢出石板击杀怪物\n（因为石板的射程和飞行速度太慢了）,,,,,
community_tutorial_dialog_tablet_kill_1_2,,,,,,,,,丢石板时处在怪物上方或者左右都是个不错的选择\n（你不会想知道从下往上丢石板有多难）\n尽量不要用石板对付远程怪\n同时，石板击杀怪物有可能造成意外击杀掉落双倍金,,,,,
community_tutorial_dialog_tablet_kill_1_3,,,,,,,,,靠近后击杀近战怪\n（由于近战怪射程很近，你可以离近战怪近点而不被攻击）,,,,,
community_tutorial_dialog_tablet_kill_2_1,,,,,,,,,如果丢出石板后，怪物在石板前面或者上面阻挡石板回收，就用你的法杖击杀它,,,,,
community_tutorial_dialog_tablet_kill_3_1,,,,,,,,,如果回收石板时，石板挡住了你的法术，而怪物躲在石板后，在石板前向怪物方向踢一脚能砸死它\n（当然是在怪物趴在石板后不动的时候，你看如果空间够怪物会不会跳过来）,,,,,
community_tutorial_dialog_tablet_kill_4_1,,,,,,,,,用石板对付远程怪时应在其上方并且不容易被打到\n（要不你下去试试从底下飞上来用石板打他）,,,,,
community_tutorial_dialog_tablet_kill_5_1,,,,,,,,,石板可以清理炮台敌人\n当炮台类怪物攻击你时，它需要完成转向瞄准你后才能进行攻击,,,,,
community_tutorial_dialog_tablet_kill_5_2,,,,,,,,,因此，你可以通过拉扯使其一直转向\n此时他就无法对你进行攻击\n（记住炮台怪血量比较高，所以你丢石板时如果不够高伤害就可能不够）,,,,,
